41 89
Sao Paulo;Brasil;O vibrante coracao financeiro e cultural do Brasil, repleto de diversidade e arranha-ceus.
Brasilia;Brasil;A capital futurista do Brasil, famosa por sua arquitetura modernista e planejamento urbano unico.
Washington;EUA;Centro politico dos EUA, lar dos principais marcos historicos e governamentais do pais.
Los Angeles;EUA;O epicentro global da industria cinematografica, conhecida por seu glamour e praias iconicas.
Dallas;EUA;Uma prospera metropole texana, conhecida por sua economia dinamica e tradicao cultural sulista.
Vancouver;Canada;Cidade litoranea canadense rodeada por montanhas, conhecida por sua beleza natural e diversidade.
Montreal;Canada;Fusao cultural do Canada, onde o charme europeu e a modernidade norte-americana se encontram.
Bogota;Colombia;A energica e elevada capital da Colombia, combinando historia colonial e modernidade urbana.
Buenos Aires;Argentina;Elegante capital da Argentina, famosa por sua arquitetura europeia e rica tradicao cultural.
Cidade do Mexico;Mexico;Uma das maiores cidades do mundo, intensa e historica, com raizes astecas e vida urbana moderna.
Havana;Cuba;Capital historica de Cuba, famosa por sua arquitetura colonial e vibrante cultura caribenha.
Lisboa;Portugal;Cidade costeira portuguesa, conhecida por suas colinas, azulejos coloridos e historia rica.
Madrid;Espanha;A dinamica capital da Espanha, que combina tradicao real com uma vida cultural empolgante.
Paris;Franca;A iconica "Cidade Luz", famosa por sua arte, moda, gastronomia e arquitetura classica.
Londres;Inglaterra;Centro cosmopolita global, onde tradicao historica e inovacao moderna coexistem.
Berlim;Alemanha;Capital alema, marcada por sua historia dramatica e uma cena cultural contemporanea bem ativa.
Roma;Italia;A eterna capital da Italia, onde ruinas antigas e igrejas renascentistas moldam uma rica heranca cultural.
Atenas;Grecia;Berco da civilizacao ocidental, repleta de ruinas antigas e com uma atraente vida moderna.
Moscou;Russia;A imponente capital russa, combinando historia imperial com um centro urbano moderno e grandioso.
Oslo;Noruega;Capital da Noruega, cercada por fiordes e florestas, com uma atmosfera serena e arquitetura contemporanea.
Viena;Austria;Elegante capital da Austria, conhecida por sua música classica, palacios imperiais e cafes historicos.
Marrakech;Marrocos;Cidade marroquina palpitante, famosa por seus mercados exoticos, palacios e arquitetura islamica.
Cairo;Egito;A vasta e historica capital do Egito, proxima as iconicas piramides e rica em cultura milenar.
Nova Delhi;India;Capital movimentada da India, onde monumentos historicos convivem com a modernidade vibrante.
Pequim;China;O coracao cultural e político da China, com vastos marcos historicos como a Cidade Proibida e a Grande Muralha.
Toquio;Japao;Uma metropole futurista do Japao, conhecida por sua tecnologia de ponta e tradicoes antigas.
Seoul;Coreia do Sul;Capital dinamica da Coreia do Sul, mesclando templos historicos com modernidade tecnologica e cultura pop.
Dubai;Emirados Arabes Unidos;Cidade ultramoderna dos Emirados Arabes, famosa por seus arranha-ceus, shoppings de luxo e estilo de vida cosmopolita.
Meca;Arabia Saudita;Cidade sagrada do Isla na Arabia Saudita, destino de peregrinacao para milhoes de muculmanos.
Singapura;Singapura;Cidade-estado global e prospera, conhecida por sua arquitetura futurista e eficiencia moderna.
Sydney;Australia;A agitada cidade costeira da Australia, famosa pela Opera iconica e suas praias deslumbrantes.
Cidade do Cabo;Africa do Sul;Cidade sul-africana de beleza natural unica, cercada por montanhas e mar, com rica historia multicultural.
Varsovia;Polonia;A resiliente capital da Polonia, reconstruida apos a guerra, cheia de vida, cultura e historia.
Antananarivo;Madagascar;A capital montanhosa de Madagascar, famosa por sua cultura unica e mercados movimentados.
La Paz;Peru;A capital mais alta do mundo, na Bolivia, com vistas deslumbrantes e cultura andina autentica.
Taipe;Taiwan;A capital moderna de Taiwan, onde a tecnologia se mistura com templos antigos e mercados cheios de vida.
Hong Kong;China;Uma metropole global e movimentada, que mistura tradicao chinesa com um grande centro financeiro.
Jerusalem;Israel;Cidade sagrada e historica, central para varias religioes, com uma atmosfera de profunda espiritualidade.
Bagda;Iraque;A historica capital do Iraque, com uma heranca rica como centro de cultura e conhecimento no mundo arabe.
Havai;EUA;Uma ilha paradisiaca e belissima nos EUA, conhecida por suas praias, vulcoes e cultura polinesia.
Winnipeg;Canada;Uma cidade canadense no coracao das pradarias, conhecida por sua diversidade cultural e invernos rigorosos.
Brasilia;Sao Paulo;1.5;450
Buenos Aires;Sao Paulo;2.5;2000
Brasilia;Buenos Aires;3.5;3000
Brasilia;Bogota;5;2700
Sao Paulo;La Paz;5.5;2000
Havana;Bogota;3.5;2200
Cidade do Mexico;Bogota;4.5;1500
La Paz;Bogota;3.5;3100
Washington;Brasilia;8.5;4000
La Paz;Buenos Aires;3.5;2200
Havana;Washington;3;1950
Havana;Dallas;2.5;2150
Cidade do Mexico;Dallas;2;1300
Los Angeles;Dallas;3;600
Los Angeles;Cidade do Mexico;3.5;1550
Dallas;Washington;2.5;1250
Los Angeles;Washington;5;650
Los Angeles;Havai;5.5;900
Washington;Montreal;1.5;1700
Vancouver;Los Angeles;3;850
Winnipeg;Los Angeles;4;1200
Vancouver;Winnipeg;3;1000
Vancouver;Havai;5.5;1300
Winnipeg;Montreal;3;700
Dallas;Montreal;4;2370
La Paz;Brasilia;3;2400
Sao Paulo;Lisboa;10;4000
Montreal;Lisboa;6.5;2900
Montreal;Londres;7;3500
Dallas;Winnipeg;3;2450
Sao Paulo;Cidade do Cabo;7.5;6150
Brasilia;Lisboa;9;3800
Lisboa;Madrid;1.5;380
Londres;Paris;1.5;450
Madrid;Paris;2;600
Lisboa;Paris;2.5;500
Lisboa;Marrakech;1.5;250
Madrid;Roma;2.5;560
Madrid;Londres;2.5;450
Roma;Paris;2;400
Marrakech;Cairo;5;1250
Cidade do Cabo;Antananarivo;4.5;4500
Marrakech;Cidade do Cabo;10;2100
Cairo;Cidade do Cabo;9;3000
Antananarivo;Dubai;6.5;3350
Londres;Oslo;2;550
Londres;Berlim;2;650
Viena;Paris;2;800
Viena;Roma;1.5;600
Berlim;Varsovia;1;1000
Oslo;Berlim;1.5;920
Berlim;Viena;1;1000
Oslo;Varsovia;2;570
Varsovia;Moscou;2;1500
Oslo;Moscou;2.5;1450
Moscou;Pequim;7.5;2500
Viena;Varsovia;1.5;400
Roma;Atenas;2;700
Viena;Atenas;2;420
Cairo;Roma;3.5;1800
Atenas;Bagda;3;2000
Moscou;Bagda;3.5;2500
Atenas;Moscou;3;5200
Cairo;Meca;2.5;800
Meca;Dubai;3.5;1200
Cairo;Jerusalem;1;1500
Jerusalem;Bagda;1.5;4000
Meca;Jerusalem;2;4500
Bagda;Dubai;2.5;2150
Dubai;Nova Delhi;4;1400
Bagda;Nova Delhi;4.5;3500
Nova Delhi;Pequim;5;3000
Nova Delhi;Singapura;6;1500
Singapura;Sydney;8;1050
Nova Delhi;Hong Kong;6;1750
Hong Kong;Taipe;2;800
Pequim;Seoul;1.5;700
Pequim;Taipe;2.5;1500
Pequim;Hong Kong;3;720
Toquio;Seoul;3;900
Seoul;Taipe;2.5;1000
Toquio;Taipe;4;1100
Sydney;Toquio;10;3000
Hong Kong;Singapura;4;1200
Sydney;Hong Kong;9;4200
Dubai;Singapura;8;2600
Marrakech;Madrid;2;250
Cidade do Cabo;Sydney;13.5;5300
Cidade do Mexico;Havai;8;2700
